0,Info,20/1/23 13:42,Service 'ymaze_inLT' : Execution start,,
0,Info,Subject Identification,52 53 54 55 56 57 58 59,,
0,Info,Apparatus,139,,
0,Info,Unit ID,3A843F,,
30.639,Info,Arena,1,Enter_Zone,3
30.639,Info,Arena,2,Enter_Zone,1
30.639,Info,Arena,3,Enter_Zone,1
30.639,Info,Arena,4,Enter_Zone,2
30.639,Info,Arena,5,Enter_Zone,1
30.639,Info,Arena,6,Enter_Zone,2
30.639,Info,Arena,7,Enter_Zone,1
30.639,Info,Arena,8,Enter_Zone,2
30.902,Info,Arena,8,Exit_Zone,2
30.902,Info,Arena,8,Enter_Zone,4
31.028,Info,Arena,8,Exit_Zone,4
31.028,Info,Arena,8,Enter_Zone,1
31.524,Info,Arena,7,Exit_Zone,1
31.524,Info,Arena,7,Enter_Zone,4
31.732,Info,Arena,7,Exit_Zone,4
31.732,Info,Arena,7,Enter_Zone,2
32.191,Info,Arena,2,Exit_Zone,1
32.191,Info,Arena,2,Enter_Zone,4
32.76,Info,Arena,2,Exit_Zone,4
32.76,Info,Arena,2,Enter_Zone,2
33.058,Info,Arena,4,Exit_Zone,2
33.058,Info,Arena,4,Enter_Zone,4
33.358,Info,Arena,8,Exit_Zone,1
33.358,Info,Arena,8,Enter_Zone,4
33.39,Info,Arena,5,Exit_Zone,1
33.39,Info,Arena,5,Enter_Zone,2
33.424,Info,Arena,4,Exit_Zone,4
33.424,Info,Arena,4,Enter_Zone,1
33.626,Info,Arena,8,Exit_Zone,4
33.626,Info,Arena,8,Enter_Zone,3
34.424,Info,Arena,4,Exit_Zone,1
34.424,Info,Arena,4,Enter_Zone,4
34.692,Info,Arena,4,Exit_Zone,4
34.692,Info,Arena,4,Enter_Zone,3
34.801,Info,Arena,1,Exit_Zone,3
34.801,Info,Arena,1,Enter_Zone,4
34.932,Info,Arena,1,Exit_Zone,4
34.932,Info,Arena,1,Enter_Zone,3
34.932,Info,Arena,5,Exit_Zone,2
34.932,Info,Arena,5,Enter_Zone,4
34.996,Info,Arena,5,Exit_Zone,4
34.996,Info,Arena,5,Enter_Zone,3
35.257,Info,Arena,7,Exit_Zone,2
35.257,Info,Arena,7,Enter_Zone,4
35.657,Info,Arena,7,Exit_Zone,4
35.657,Info,Arena,7,Enter_Zone,3
36.291,Info,Arena,6,Exit_Zone,2
36.291,Info,Arena,6,Enter_Zone,4
36.457,Info,Arena,1,Exit_Zone,3
36.457,Info,Arena,1,Enter_Zone,4
36.491,Info,Arena,6,Exit_Zone,4
36.491,Info,Arena,6,Enter_Zone,1
36.59,Info,Arena,1,Exit_Zone,4
36.59,Info,Arena,1,Enter_Zone,3
37.225,Info,Arena,4,Exit_Zone,3
37.225,Info,Arena,4,Enter_Zone,4
37.732,Info,Arena,4,Exit_Zone,4
37.732,Info,Arena,4,Enter_Zone,1
38.057,Info,Arena,5,Exit_Zone,3
38.057,Info,Arena,5,Enter_Zone,4
38.158,Info,Arena,5,Exit_Zone,4
38.158,Info,Arena,5,Enter_Zone,1
38.857,Info,Arena,6,Exit_Zone,1
38.857,Info,Arena,6,Enter_Zone,4
39.257,Info,Arena,6,Exit_Zone,4
39.257,Info,Arena,6,Enter_Zone,2
39.991,Info,Arena,7,Exit_Zone,3
39.991,Info,Arena,7,Enter_Zone,4
40.357,Info,Arena,7,Exit_Zone,4
40.357,Info,Arena,7,Enter_Zone,1
41.424,Info,Arena,4,Exit_Zone,1
41.424,Info,Arena,4,Enter_Zone,4
42.024,Info,Arena,4,Exit_Zone,4
42.024,Info,Arena,4,Enter_Zone,3
44.29,Info,Arena,4,Exit_Zone,3
44.29,Info,Arena,4,Enter_Zone,4
44.623,Info,Arena,1,Exit_Zone,3
44.623,Info,Arena,1,Enter_Zone,4
44.656,Info,Arena,1,Exit_Zone,4
44.656,Info,Arena,1,Enter_Zone,1
44.868,Info,Arena,4,Exit_Zone,4
44.868,Info,Arena,4,Enter_Zone,2
44.898,Info,Arena,4,Exit_Zone,2
44.898,Info,Arena,4,Enter_Zone,4
44.931,Info,Arena,4,Exit_Zone,4
44.931,Info,Arena,4,Enter_Zone,2
44.931,Info,Arena,5,Exit_Zone,1
44.931,Info,Arena,5,Enter_Zone,4
44.962,Info,Arena,5,Exit_Zone,4
44.962,Info,Arena,5,Enter_Zone,2
46.096,Info,Arena,7,Exit_Zone,1
46.096,Info,Arena,7,Enter_Zone,4
46.162,Info,Arena,7,Exit_Zone,4
46.162,Info,Arena,7,Enter_Zone,2
46.556,Info,Arena,4,Exit_Zone,2
46.556,Info,Arena,4,Enter_Zone,4
46.89,Info,Arena,4,Exit_Zone,4
46.89,Info,Arena,4,Enter_Zone,3
47.857,Info,Arena,6,Exit_Zone,2
47.857,Info,Arena,6,Enter_Zone,4
48.189,Info,Arena,6,Exit_Zone,4
48.189,Info,Arena,6,Enter_Zone,2
48.557,Info,Arena,2,Exit_Zone,2
48.557,Info,Arena,2,Enter_Zone,4
48.73,Info,Arena,2,Exit_Zone,4
48.73,Info,Arena,2,Enter_Zone,3
49.956,Info,Arena,7,Exit_Zone,2
49.956,Info,Arena,7,Enter_Zone,4
50.322,Info,Arena,7,Exit_Zone,4
50.322,Info,Arena,7,Enter_Zone,1
50.829,Info,Arena,5,Exit_Zone,2
50.829,Info,Arena,5,Enter_Zone,4
50.991,Info,Arena,5,Exit_Zone,4
50.991,Info,Arena,5,Enter_Zone,1
51.057,Info,Arena,6,Exit_Zone,2
51.057,Info,Arena,6,Enter_Zone,4
51.323,Info,Arena,6,Exit_Zone,4
51.323,Info,Arena,6,Enter_Zone,1
51.356,Info,Arena,5,Exit_Zone,1
51.356,Info,Arena,5,Enter_Zone,2
52.758,Info,Arena,7,Exit_Zone,1
52.758,Info,Arena,7,Enter_Zone,4
52.922,Info,Arena,7,Exit_Zone,4
52.922,Info,Arena,7,Enter_Zone,2
53.908,Info,Arena,4,Exit_Zone,3
53.908,Info,Arena,4,Enter_Zone,4
53.978,Info,Arena,5,Exit_Zone,2
53.978,Info,Arena,5,Enter_Zone,4
54.161,Info,Arena,5,Exit_Zone,4
54.161,Info,Arena,5,Enter_Zone,3
54.269,Info,Arena,6,Exit_Zone,1
54.269,Info,Arena,6,Enter_Zone,4
54.608,Info,Arena,6,Exit_Zone,4
54.608,Info,Arena,6,Enter_Zone,2
54.718,Info,Arena,4,Exit_Zone,4
54.718,Info,Arena,4,Enter_Zone,1
56.769,Info,Arena,6,Exit_Zone,2
56.769,Info,Arena,6,Enter_Zone,4
57.074,Info,Arena,6,Exit_Zone,4
57.074,Info,Arena,6,Enter_Zone,1
57.464,Info,Arena,4,Exit_Zone,1
57.464,Info,Arena,4,Enter_Zone,4
57.499,Info,Arena,3,Exit_Zone,1
57.499,Info,Arena,3,Enter_Zone,4
57.836,Info,Arena,4,Exit_Zone,4
57.836,Info,Arena,4,Enter_Zone,2
58.22,Info,Arena,2,Exit_Zone,3
58.22,Info,Arena,2,Enter_Zone,4
58.22,Info,Arena,3,Exit_Zone,4
58.22,Info,Arena,3,Enter_Zone,3
58.256,Info,Arena,2,Exit_Zone,4
58.256,Info,Arena,2,Enter_Zone,2
59.684,Info,Arena,6,Exit_Zone,1
59.684,Info,Arena,6,Enter_Zone,4
60.122,Info,Arena,4,Exit_Zone,2
60.122,Info,Arena,4,Enter_Zone,4
60.196,Info,Arena,4,Exit_Zone,4
60.196,Info,Arena,4,Enter_Zone,1
60.268,Info,Arena,6,Exit_Zone,4
60.268,Info,Arena,6,Enter_Zone,2
61.39,Info,Arena,7,Exit_Zone,2
61.39,Info,Arena,7,Enter_Zone,4
61.67,Info,Arena,7,Exit_Zone,4
61.67,Info,Arena,7,Enter_Zone,3
62.129,Info,Arena,4,Exit_Zone,1
62.129,Info,Arena,4,Enter_Zone,4
62.39,Info,Arena,4,Exit_Zone,4
62.39,Info,Arena,4,Enter_Zone,3
64.023,Info,Arena,4,Exit_Zone,3
64.023,Info,Arena,4,Enter_Zone,4
64.455,Info,Arena,4,Exit_Zone,4
64.455,Info,Arena,4,Enter_Zone,1
65.621,Info,Arena,8,Exit_Zone,3
65.621,Info,Arena,8,Enter_Zone,4
66.123,Info,Arena,8,Exit_Zone,4
66.123,Info,Arena,8,Enter_Zone,1
66.955,Info,Arena,7,Exit_Zone,3
